Agnaktor Helm : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Vambraces : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Faulds : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Agnaktor Cap : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Guards : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Coat : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Akatsuki Kabuto : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akatsuki Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akatsuki Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akatsuki Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akatsuki Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Akebono Eboshi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akebono Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akebono Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akebono Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akebono Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Alloy Helm S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
King Lobster Shell : Sm Lobster Shell x2, Lobster Tail x1, Zaboazagiru Fin x1, Ice Crystal x10 : 2 エビの小殻, 1 エビの尾扇, 1 化け鮫のヒレ, 10 氷結晶
King Lobster Vambraces : Sm Lobster Shell x2, Zaboazagiru Fin x1, Slimy Oil x2, Earth Crystal x4 : 2 エビの小殻, 1 化け鮫のヒレ, 2 カワズの油, 4 大地の結晶
King LobsterCoil : Lobster Tail x2, Zaboazagiru Fin x1, Monster Fluid x2, Aruserutasu Wing x2 : 2 エビの尾扇, 1 化け鮫のヒレ, 2 モンスターの体液, 2 徹甲虫の羽
King LobsterGreaves : Sm Lobster Shell x1, Lobster Tail x1, Zaboazagiru Fin x1, Machalite Ore x3 : 1 エビの小殻, 1 エビの尾扇, 1 化け鮫のヒレ, 3 マカライト鉱石
King LobsterCap : Lobster Tail x1, Sm Lobster Shell x2, Zaboazagiru Fin x2, Gluehopper x3 : 1 エビの尾扇, 2 エビの小殻, 2 化け鮫のヒレ, 3 のりこねバッタ
King Lobster Skin : Sm Lobster Shell x2, Lobster Tail x1, Zaboazagiru Fin x1, Ice Crystal x10 : 2 エビの小殻, 1 エビの尾扇, 1 化け鮫のヒレ, 10 氷結晶
King Lobster Guards : Sm Lobster Shell x2, Zaboazagiru Fin x1, Slimy Oil x2, Earth Crystal x4 : 2 エビの小殻, 1 化け鮫のヒレ, 2 カワズの油, 4 大地の結晶
King LobsterCoat : Lobster Tail x2, Zaboazagiru Fin x1, Monster Fluid x2, Aruserutasu Wing x2 : 2 エビの尾扇, 1 化け鮫のヒレ, 2 モンスターの体液, 2 徹甲虫の羽
King LobsterLeggings : Sm Lobster Shell x1, Lobster Tail x1, Zaboazagiru Fin x1, Machalite Ore x3 : 1 エビの小殻, 1 エビの尾扇, 1 化け鮫のヒレ, 3 マカライト鉱石
Kirin Horn U : Kirin Ice Horn x2, Kirin Icetail x2, Kirin Hide+ x3, Kirin Blue Horn x5 : 2 キリンの氷角, 2 キリンの霜尾, 3 キリンの上皮, 5 キリンの蒼角
Kirin Vest U : Kirin Icetail x3, Kirin Hide+ x6, Elder Dragon Blood x3, Fine Beak x1 : 3 キリンの霜尾, 6 キリンの上皮, 3 古龍の血, 1 立派なクチバシ
Kirin Vambraces U : Kirin Icetail x4, Kirin Hide+ x4, Elder Dragon Blood x3, Garuga Tail x3 : 4 キリンの霜尾, 4 キリンの上皮, 3 古龍の血, 3 黒狼鳥の尻尾
Kirin Hoop U : Kirin Icetail x2, Kirin Ice Horn x2, Kirin Hide+ x8, Freezer Sac x3 : 2 キリンの霜尾, 2 キリンの氷角, 8 キリンの上皮, 3 凍結袋
Kirin Legs U : Kirin Icetail x3, Kirin Mane x5, Elder Dragon Blood x3, P.Basarios Wing x3 : 3 キリンの霜尾, 5 キリンのたてがみ, 3 古龍の血, 3 桃岩竜の翼
Kirin Horn S : Kirin Hide+ x6, Kirin Blue Horn x3, Kirin Thundertail x5, Rejuvenated Beak x3 : 6 キリンの上皮, 3 キリンの蒼角, 5 キリンの雷尾, 3 イカしたクチバシ
Kirin Vest S : Kirin Hide+ x4, Kirin Hide x3, BasariosTears x1, Novacrystal x1 : 4 キリンの上皮, 3 キリンの皮, 1 岩竜の涙, 1 ノヴァクリスタル
Kirin Long Arms S : Kirin Hide+ x3, Kirin Thundertail x3, Blue Kut-Ku Carapace x6, Fulcralite Ore x2 : 3 キリンの上皮, 3 キリンの雷尾, 6 青怪鳥の堅殻, 2 フルクライト鉱石
Kirin Hoop S : Kirin Hide+ x5, Kirin Hide x3, Kirin Blue Horn x2, Lightning Sac x3 : 5 キリンの上皮, 3 キリンの皮, 2 キリンの蒼角, 3 電撃袋
Kirin Legs S : Kirin Hide+ x4, Kirin Thundertail x3, Garuga Carapace x6, Lightning Sac x3 : 4 キリンの上皮, 3 キリンの雷尾, 6 黒狼鳥の堅殻, 3 電撃袋
Kirin Crown U : Kirin Ice Horn x2, Kirin Icetail x2, Kirin Hide+ x3, Kirin Blue Horn x5 : 2 キリンの氷角, 2 キリンの霜尾, 3 キリンの上皮, 5 キリンの蒼角
Kirin Cape U : Kirin Icetail x3, Kirin Hide+ x6, Elder Dragon Blood x3, Fine Beak x1 : 3 キリンの霜尾, 6 キリンの上皮, 3 古龍の血, 1 立派なクチバシ
Kirin Gloves U : Kirin Icetail x4, Kirin Hide+ x4, Elder Dragon Blood x3, Garuga Tail x3 : 4 キリンの霜尾, 4 キリンの上皮, 3 古龍の血, 3 黒狼鳥の尻尾
Kirin Shorts U : Kirin Icetail x2, Kirin Ice Horn x2, Kirin Hide+ x8, Freezer Sac x3 : 2 キリンの霜尾, 2 キリンの氷角, 8 キリンの上皮, 3 凍結袋
Kirin Boots U : Kirin Icetail x3, Kirin Mane x5, Elder Dragon Blood x3, P.Basarios Wing x3 : 3 キリンの霜尾, 5 キリンのたてがみ, 3 古龍の血, 3 桃岩竜の翼
Kirin Crown S : Kirin Hide+ x6, Kirin Blue Horn x3, Kirin Thundertail x5, Rejuvenated Beak x3 : 6 キリンの上皮, 3 キリンの蒼角, 5 キリンの雷尾, 3 イカしたクチバシ
Kirin Cape S : Kirin Hide+ x4, Kirin Hide x3, BasariosTears x1, Novacrystal x1 : 4 キリンの上皮, 3 キリンの皮, 1 岩竜の涙, 1 ノヴァクリスタル
Kirin Gloves S : Kirin Hide+ x3, Kirin Thundertail x3, Blue Kut-Ku Carapace x6, Fulcralite Ore x2 : 3 キリンの上皮, 3 キリンの雷尾, 6 青怪鳥の堅殻, 2 フルクライト鉱石
Kirin Shorts S : Kirin Hide+ x5, Kirin Hide x3, Kirin Blue Horn x2, Lightning Sac x3 : 5 キリンの上皮, 3 キリンの皮, 2 キリンの蒼角, 3 電撃袋
Kirin Boots S : Kirin Hide+ x4, Kirin Thundertail x3, Garuga Carapace x6, Lightning Sac x3 : 4 キリンの上皮, 3 キリンの雷尾, 6 黒狼鳥の堅殻, 3 電撃袋
Kirin Horn : Kirin Hide x5, Kirin Horn x3, Kirin Mane x2, Garuga Mane x2 : 5 キリンの皮, 3 キリンの雷角, 2 キリンのたてがみ, 2 黒狼鳥のたてがみ
Kirin Vest : Kirin Hide x3, Flabby Hide x3, Gypceros Hide x2, Lightcrystal x1 : 3 キリンの皮, 3 ブヨブヨした皮, 2 ゴム質の皮, 1 ライトクリスタル
Kirin Long Arms : Kirin Hide x5, Kirin Mane x2, Kut-Ku Shell x3, Thunderbug x5 : 5 キリンの皮, 2 キリンのたてがみ, 3 怪鳥の甲殻, 5 雷光虫
Kirin Hoop : Kirin Hide x6, Kirin Mane x3, Garuga Shell x3, Thunder Sac x3 : 6 キリンの皮, 3 キリンのたてがみ, 3 黒狼鳥の甲殻, 3 電気袋
Kirin Legs : Kirin Hide x7, Kirin Horn x1, Kut-Ku Scale x5, Thunder Sac x3 : 7 キリンの皮, 1 キリンの雷角, 5 怪鳥の鱗, 3 電気袋
Kirin Crown : Kirin Hide x5, Kirin Horn x3, Kirin Mane x2, Garuga Mane x2 : 5 キリンの皮, 3 キリンの雷角, 2 キリンのたてがみ, 2 黒狼鳥のたてがみ
Kirin Cape : Kirin Hide x3, Flabby Hide x3, Gypceros Hide x2, Lightcrystal x1 : 3 キリンの皮, 3 ブヨブヨした皮, 2 ゴム質の皮, 1 ライトクリスタル
Kirin Gloves : Kirin Hide x5, Kirin Mane x2, Kut-Ku Shell x3, Thunderbug x5 : 5 キリンの皮, 2 キリンのたてがみ, 3 怪鳥の甲殻, 5 雷光虫
Kirin Shorts : Kirin Hide x6, Kirin Mane x3, Garuga Shell x3, Thunder Sac x3 : 6 キリンの皮, 3 キリンのたてがみ, 3 黒狼鳥の甲殻, 3 電気袋
Kirin Boots : Kirin Hide x7, Kirin Horn x1, Kut-Ku Scale x5, Thunder Sac x3 : 7 キリンの皮, 1 キリンの雷角, 5 怪鳥の鱗, 3 電気袋
Kirin EX Horn U : Phantom Ticket x1, Kirin Blue Horn x2, Kirin Thundertail x3, Guild Ticket+ x2 : 1 幻獣チケット, 2 キリンの蒼角, 3 キリンの雷尾, 2 ギルドチケットＧ
Kirin EX Crown U : Phantom Ticket x1, Kirin Blue Horn x2, Kirin Thundertail x3, Guild Ticket+ x2 : 1 幻獣チケット, 2 キリンの蒼角, 3 キリンの雷尾, 2 ギルドチケットＧ
Kirin EX Vest U : Phantom Ticket x1, Kirin Hide+ x4, BasariosTears x2, Guild Ticket+ x1 : 1 幻獣チケット, 4 キリンの上皮, 2 岩竜の涙, 1 ギルドチケットＧ
Kirin EX Vambraces U : Phantom Ticket x1, Kirin Hide+ x2, Fine Beak x2, Guild Ticket+ x2 : 1 幻獣チケット, 2 キリンの上皮, 2 立派なクチバシ, 2 ギルドチケットＧ
Kirin EX Hoop U : Phantom Ticket x1, Kirin Hide+ x3, Kirin Blue Horn x5, Guild Ticket+ x1 : 1 幻獣チケット, 3 キリンの上皮, 5 キリンの蒼角, 1 ギルドチケットＧ
Kirin EX Legs U : Phantom Ticket x1, Kirin Hide+ x5, Garuga Long Ear x4, Guild Ticket+ x2 : 1 幻獣チケット, 5 キリンの上皮, 4 黒狼鳥の地獄耳, 2 ギルドチケットＧ
Kirin EX Cape U : Phantom Ticket x1, Kirin Hide+ x4, BasariosTears x2, Guild Ticket+ x1 : 1 幻獣チケット, 4 キリンの上皮, 2 岩竜の涙, 1 ギルドチケットＧ
Kirin EX Gloves U : Phantom Ticket x1, Kirin Hide+ x2, Fine Beak x2, Guild Ticket+ x2 : 1 幻獣チケット, 2 キリンの上皮, 2 立派なクチバシ, 2 ギルドチケットＧ
Kirin EX Shorts U : Phantom Ticket x1, Kirin Hide+ x3, Kirin Blue Horn x5, Guild Ticket+ x1 : 1 幻獣チケット, 3 キリンの上皮, 5 キリンの蒼角, 1 ギルドチケットＧ
Kirin EX Boots U : Phantom Ticket x1, Kirin Hide+ x5, Garuga Long Ear x4, Guild Ticket+ x2 : 1 幻獣チケット, 5 キリンの上皮, 4 黒狼鳥の地獄耳, 2 ギルドチケットＧ
Kongo Kabuto : Gaoren Shell x1, Daora Gem x1, Rare Scarab x1 : 1 砦蟹の堅甲, 1 鋼龍の宝玉, 1 マレコガネ
Kongo Doate : Gaoren Claw+ x1, Daora Carapace x3, Rare Scarab x2 : 1 砦蟹の尖爪, 3 鋼龍の堅殻, 2 マレコガネ
Kongo Kote : Gaoren Claw x1, Daora Dragonscale x2, Rare Scarab x3 : 1 砦蟹の鋏, 2 鋼の龍鱗, 3 マレコガネ
Kongo Koshiate : Gaoren Claw x1, Daora Carapace x2, Rare Scarab x2 : 1 砦蟹の鋏, 2 鋼龍の堅殻, 2 マレコガネ
Kongo Gusoku : Gaoren Claw x1, Daora Dragonscale x2, Rare Scarab x3 : 1 砦蟹の鋏, 2 鋼の龍鱗, 3 マレコガネ
Kunchuu Vambraces S : Kunchuu Carapace x5, Kunchuu Shell x4, Monster Broth x2, Hercudrome x1 : 5 盾虫の堅殻, 4 盾虫の甲殻, 2 モンスターの濃汁, 1 ドスヘラクレス
Kunchuu Guards S : Kunchuu Carapace x5, Kunchuu Shell x4, Monster Broth x2, Hercudrome x1 : 5 盾虫の堅殻, 4 盾虫の甲殻, 2 モンスターの濃汁, 1 ドスヘラクレス
Kunchuu Vambraces : Kunchuu Shell x5, Sharpened Fang x3, Iron Ore x2, Gluehopper x1 : 5 盾虫の甲殻, 3 とがった牙, 2 鉄鉱石, 1 のりこねバッタ
Kunchuu Guards : Kunchuu Shell x5, Sharpened Fang x3, Iron Ore x2, Gluehopper x1 : 5 盾虫の甲殻, 3 とがった牙, 2 鉄鉱石, 1 のりこねバッタ
Kushala EX Glare : Daora Ticket x2, Daora Horn+ x3, S.Rathalos Carapace x5, Daora Gem x1 : 2 鋼龍チケット, 3 鋼龍の尖角, 5 銀火竜の堅殻, 1 鋼龍の宝玉
Kushala EX Cista : Daora Ticket x1, Daora Claw+ x4, S.Rathalos Scale+ x6, Elder Dragonbone x3 : 1 鋼龍チケット, 4 鋼龍の尖爪, 6 銀火竜の上鱗, 3 古龍骨
Kushala EX Grip : Daora Ticket x2, Daora Carapace x6, S.Rathalos Tail x3, Elder Dragonbone x3 : 2 鋼龍チケット, 6 鋼龍の堅殻, 3 銀火竜の尻尾, 3 古龍骨
Kushala EX Cocoon : Daora Ticket x1, Daora Webbing x5, S.Rathalos Scale+ x6, Elder Dragonbone x3 : 1 鋼龍チケット, 5 鋼龍の翼膜, 6 銀火竜の上鱗, 3 古龍骨
Kushala EX Crus : Daora Ticket x2, Daora Tail x3, S.Rathalos Carapace x5, Elder Dragonbone x3 : 2 鋼龍チケット, 3 鋼龍の尻尾, 5 銀火竜の堅殻, 3 古龍骨
Kushala Glare : Daora Carapace x2, Daora Horn+ x1, Daora Gem x1, Rare Scarab x2 : 2 鋼龍の堅殻, 1 鋼龍の尖角, 1 鋼龍の宝玉, 2 マレコガネ
Kushala Cista : Daora Carapace x4, Daora Webbing x2, Carbalite Ore x4, Elder Dragon Blood x2 : 4 鋼龍の堅殻, 2 鋼龍の翼膜, 4 カブレライト鉱石, 2 古龍の血
Kushala Grip : Daora Carapace x5, Daora Claw+ x1, Daora Dragonscale x3, Elder Dragonbone x5 : 5 鋼龍の堅殻, 1 鋼龍の尖爪, 3 鋼の龍鱗, 5 古龍骨
Kushala Cocoon : Daora Carapace x4, Daora Claw+ x2, Daora Webbing x2, Firecell Stone x1 : 4 鋼龍の堅殻, 2 鋼龍の尖爪, 2 鋼龍の翼膜, 1 獄炎石
Kushala Crus : Daora Carapace x6, Daora Dragonscale x4, Daora Claw+ x1, Union Ore x3 : 6 鋼龍の堅殻, 4 鋼の龍鱗, 1 鋼龍の尖爪, 3 ユニオン鉱石
Kushala EX Snarl : Daora Ticket x2, Daora Horn+ x3, S.Rathalos Carapace x5, Daora Gem x1 : 2 鋼龍チケット, 3 鋼龍の尖角, 5 銀火竜の堅殻, 1 鋼龍の宝玉
Kushala EX Vise : Daora Ticket x1, Daora Claw+ x4, S.Rathalos Scale+ x6, Elder Dragonbone x3 : 1 鋼龍チケット, 4 鋼龍の尖爪, 6 銀火竜の上鱗, 3 古龍骨
Kushala EX Embrace : Daora Ticket x2, Daora Carapace x6, S.Rathalos Tail x3, Elder Dragonbone x3 : 2 鋼龍チケット, 6 鋼龍の堅殻, 3 銀火竜の尻尾, 3 古龍骨
Kushala EX Wind Wrap : Daora Ticket x1, Daora Webbing x5, S.Rathalos Scale+ x6, Elder Dragonbone x3 : 1 鋼龍チケット, 5 鋼龍の翼膜, 6 銀火竜の上鱗, 3 古龍骨
Kushala EX Shank : Daora Ticket x2, Daora Tail x3, S.Rathalos Carapace x5, Elder Dragonbone x3 : 2 鋼龍チケット, 3 鋼龍の尻尾, 5 銀火竜の堅殻, 3 古龍骨
Kushala Snarl : Daora Carapace x2, Daora Horn+ x1, Daora Gem x1, Rare Scarab x2 : 2 鋼龍の堅殻, 1 鋼龍の尖角, 1 鋼龍の宝玉, 2 マレコガネ
Kushala Vise : Daora Carapace x4, Daora Webbing x2, Carbalite Ore x4, Elder Dragon Blood x2 : 4 鋼龍の堅殻, 2 鋼龍の翼膜, 4 カブレライト鉱石, 2 古龍の血
Kushala Embrace : Daora Carapace x5, Daora Claw+ x1, Daora Dragonscale x3, Elder Dragonbone x5 : 5 鋼龍の堅殻, 1 鋼龍の尖爪, 3 鋼の龍鱗, 5 古龍骨
Kushala Wind Wrap : Daora Carapace x4, Daora Claw+ x2, Daora Webbing x2, Firecell Stone x1 : 4 鋼龍の堅殻, 2 鋼龍の尖爪, 2 鋼龍の翼膜, 1 獄炎石
Kushala Shank : Daora Carapace x6, Daora Dragonscale x4, Daora Claw+ x1, Union Ore x3 : 6 鋼龍の堅殻, 4 鋼の龍鱗, 1 鋼龍の尖爪, 3 ユニオン鉱石
Kut-Ku Helm U : Blue Kut-Ku Carapace x2, Kut-Ku Long Ear x1, Kut-Ku Webbing x1, Conga Pelt+ x4 : 2 青怪鳥の堅殻, 1 怪鳥の地獄耳, 1 怪鳥の翼膜, 4 コンガの剛毛
Kut-Ku Mail U : Blue Kut-Ku Scale+ x2, Blue Kut-Ku Carapace x3, Bird Wyvern Hide+ x1, Stoutbone x3 : 2 青怪鳥の上鱗, 3 青怪鳥の堅殻, 1 強靭な鳥竜皮, 3 堅牢な骨
Kut-Ku Vambraces U : Blue Kut-Ku Scale+ x3, Blue Kut-Ku Carapace x2, Bird Wyvern Hide+ x2, Stoutbone x3 : 3 青怪鳥の上鱗, 2 青怪鳥の堅殻, 2 強靭な鳥竜皮, 3 堅牢な骨
Kut-Ku Faulds U : Blue Kut-Ku Scale+ x2, Blue Kut-Ku Carapace x3, Bird Wyvern Hide+ x1, Monster Bone+ x3 : 2 青怪鳥の上鱗, 3 青怪鳥の堅殻, 1 強靭な鳥竜皮, 3 上竜骨
Kut-Ku Greaves U : Blue Kut-Ku Carapace x2, Kut-Ku Long Ear x1, Kut-Ku Webbing x2, Velociprey Hide+ x4 : 2 青怪鳥の堅殻, 1 怪鳥の地獄耳, 2 怪鳥の翼膜, 4 ランポスの上皮
Kut-Ku Helm S : Kut-Ku Long Ear x1, Kut-Ku Carapace x2, Kut-Ku Webbing x1, Conga Pelt+ x4 : 1 怪鳥の地獄耳, 2 怪鳥の堅殻, 1 怪鳥の翼膜, 4 コンガの剛毛
Kut-Ku Mail S : Kut-Ku Scale+ x2, Kut-Ku Carapace x3, Kut-Ku Webbing x1, Monster Bone+ x3 : 2 怪鳥の上鱗, 3 怪鳥の堅殻, 1 怪鳥の翼膜, 3 上竜骨
Kut-Ku Vambraces S : Kut-Ku Scale+ x3, Kut-Ku Carapace x2, Kut-Ku Webbing x2 : 3 怪鳥の上鱗, 2 怪鳥の堅殻, 2 怪鳥の翼膜
Kut-Ku Faulds S : Kut-Ku Scale+ x2, Kut-Ku Carapace x3, Stoutbone x3 : 2 怪鳥の上鱗, 3 怪鳥の堅殻, 3 堅牢な骨
Kut-Ku Greaves S : Kut-Ku Long Ear x1, Kut-Ku Carapace x2, Kut-Ku Webbing x2, Velociprey Hide+ x4 : 1 怪鳥の地獄耳, 2 怪鳥の堅殻, 2 怪鳥の翼膜, 4 ランポスの上皮
Kut-Ku Cap U : Blue Kut-Ku Carapace x2, Kut-Ku Long Ear x1, Kut-Ku Webbing x1, Conga Pelt+ x4 : 2 青怪鳥の堅殻, 1 怪鳥の地獄耳, 1 怪鳥の翼膜, 4 コンガの剛毛
Kut-Ku Vest U : Blue Kut-Ku Scale+ x2, Blue Kut-Ku Carapace x3, Bird Wyvern Hide+ x1, Stoutbone x3 : 2 青怪鳥の上鱗, 3 青怪鳥の堅殻, 1 強靭な鳥竜皮, 3 堅牢な骨
Kut-Ku Guards U : Blue Kut-Ku Scale+ x3, Blue Kut-Ku Carapace x2, Bird Wyvern Hide+ x2, Stoutbone x3 : 3 青怪鳥の上鱗, 2 青怪鳥の堅殻, 2 強靭な鳥竜皮, 3 堅牢な骨
Kut-Ku Coat U : Blue Kut-Ku Scale+ x2, Blue Kut-Ku Carapace x3, Bird Wyvern Hide+ x1, Monster Bone+ x3 : 2 青怪鳥の上鱗, 3 青怪鳥の堅殻, 1 強靭な鳥竜皮, 3 上竜骨
Kut-Ku Leggings U : Blue Kut-Ku Carapace x2, Kut-Ku Long Ear x1, Kut-Ku Webbing x2, Velociprey Hide+ x4 : 2 青怪鳥の堅殻, 1 怪鳥の地獄耳, 2 怪鳥の翼膜, 4 ランポスの上皮
Kut-Ku Cap S : Kut-Ku Long Ear x1, Kut-Ku Carapace x2, Kut-Ku Webbing x1, Conga Pelt+ x4 : 1 怪鳥の地獄耳, 2 怪鳥の堅殻, 1 怪鳥の翼膜, 4 コンガの剛毛
Kut-Ku Vest S : Kut-Ku Scale+ x2, Kut-Ku Carapace x3, Kut-Ku Webbing x1, Monster Bone+ x3 : 2 怪鳥の上鱗, 3 怪鳥の堅殻, 1 怪鳥の翼膜, 3 上竜骨
Kut-Ku Guards S : Kut-Ku Scale+ x3, Kut-Ku Carapace x2, Kut-Ku Webbing x2 : 3 怪鳥の上鱗, 2 怪鳥の堅殻, 2 怪鳥の翼膜
Kut-Ku Coat S : Kut-Ku Scale+ x2, Kut-Ku Carapace x3, Stoutbone x3 : 2 怪鳥の上鱗, 3 怪鳥の堅殻, 3 堅牢な骨
Kut-Ku Leggings S : Kut-Ku Long Ear x1, Kut-Ku Carapace x2, Kut-Ku Webbing x2, Velociprey Hide+ x4 : 1 怪鳥の地獄耳, 2 怪鳥の堅殻, 2 怪鳥の翼膜, 4 ランポスの上皮
Kut-Ku Helm : Kut-Ku Ear x2, Kut-Ku Shell x2, Kut-Ku Webbing x1, Velociprey Hide x2 : 2 怪鳥の耳, 2 怪鳥の甲殻, 1 怪鳥の翼膜, 2 ランポスの皮
Kut-Ku Mail : Kut-Ku Scale x2, Kut-Ku Shell x3, Kut-Ku Webbing x1, Monster Bone S x3 : 2 怪鳥の鱗, 3 怪鳥の甲殻, 1 怪鳥の翼膜, 3 竜骨【小】
Kut-Ku Vambraces : Kut-Ku Scale x3, Kut-Ku Shell x2, Kut-Ku Webbing x2 : 3 怪鳥の鱗, 2 怪鳥の甲殻, 2 怪鳥の翼膜
Kut-Ku Faulds : Kut-Ku Scale x2, Kut-Ku Shell x3, Monster Bone M x1 : 2 怪鳥の鱗, 3 怪鳥の甲殻, 1 竜骨【中】
Kut-Ku Greaves : Kut-Ku Ear x2, Kut-Ku Shell x2, Kut-Ku Webbing x2, Velociprey Hide x2 : 2 怪鳥の耳, 2 怪鳥の甲殻, 2 怪鳥の翼膜, 2 ランポスの皮
Kut-Ku Cap : Kut-Ku Ear x2, Kut-Ku Shell x2, Kut-Ku Webbing x1, Velociprey Hide x2 : 2 怪鳥の耳, 2 怪鳥の甲殻, 1 怪鳥の翼膜, 2 ランポスの皮
Kut-Ku Vest : Kut-Ku Scale x2, Kut-Ku Shell x3, Kut-Ku Webbing x1, Monster Bone S x3 : 2 怪鳥の鱗, 3 怪鳥の甲殻, 1 怪鳥の翼膜, 3 竜骨【小】
Kut-Ku Guards : Kut-Ku Scale x3, Kut-Ku Shell x2, Kut-Ku Webbing x2 : 3 怪鳥の鱗, 2 怪鳥の甲殻, 2 怪鳥の翼膜
Kut-Ku Coat : Kut-Ku Scale x2, Kut-Ku Shell x3, Monster Bone M x1 : 2 怪鳥の鱗, 3 怪鳥の甲殻, 1 竜骨【中】
Kut-Ku Leggings : Kut-Ku Ear x2, Kut-Ku Shell x2, Kut-Ku Webbing x2, Velociprey Hide x2 : 2 怪鳥の耳, 2 怪鳥の甲殻, 2 怪鳥の翼膜, 2 ランポスの皮
Lagiacrus Helm : Lagiacrus Lightning Carapace x2, A.Rathalos Scale+ x3, A.Rathalos Tail x2 : 2 海竜の高電殻, 3 蒼火竜の上鱗, 2 蒼火竜の尻尾
Lagiacrus Mail : Lagiacrus Lightning Carapace x2, Lagiacrus Sapphire x1, A.Rathalos Carapace x2 : 2 海竜の高電殻, 1 海竜の蒼玉, 2 蒼火竜の堅殻
Lagiacrus Vambraces : Lagiacrus Lightning Carapace x1, A.Rathalos Scale+ x3, A.Rathalos Wing x3 : 1 海竜の高電殻, 3 蒼火竜の上鱗, 3 蒼火竜の翼
Lagiacrus Faulds : Lagiacrus Lightning Carapace x1, A.Rathalos Carapace x4, Rathalos Plate x1 : 1 海竜の高電殻, 4 蒼火竜の堅殻, 1 火竜の逆鱗
Lagiacrus Greaves : Lagiacrus Lightning Carapace x2, A.Rathalos Scale+ x3, Wyvern Stone x1 : 2 海竜の高電殻, 3 蒼火竜の上鱗, 1 竜玉
Lagiacrus Cap : Lagiacrus Lightning Carapace x2, A.Rathalos Scale+ x3, A.Rathalos Tail x2 : 2 海竜の高電殻, 3 蒼火竜の上鱗, 2 蒼火竜の尻尾
Lagiacrus Vest : Lagiacrus Lightning Carapace x2, Lagiacrus Sapphire x1, A.Rathalos Carapace x2 : 2 海竜の高電殻, 1 海竜の蒼玉, 2 蒼火竜の堅殻
