Leather Headgear : Warm Pelt x1, Iron Ore x1 : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : Warm Pelt x2 : 2 暖かい毛皮
Leather Belt : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : Warm Pelt x2 : 2 暖かい毛皮
Piscine Mask : Kelbi Horn x2, Airweed x2, Mystery Bone x2 : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : Hydro Hide x2, Broken Shell x2 : 2 水生獣の皮, 2 欠けた貝殻
Piscine Breeches : Hydro Hide x2, Big Fin x1 : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : Earth Crystal x1, Iron Ore x1 : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : Iron Ore x2, Warm Pelt x1 : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : Iron Ore x1, Whetstone x2 : 1 鉄鉱石, 2 砥石
Chainmail Belt : Iron Ore x1, Warm Pelt x2 : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : Iron Ore x2, Warm Pelt x2 : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : Altaroth Stomach x1, Monster Fluid x3, Ice Crystal x3 : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : Altaroth Stomach x2, Altaroth Jaw x2, Ice Crystal x3 : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : Altaroth Jaw x3, Altaroth Stomach x2, Ice Crystal x3 : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Dogi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Kote : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Obi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Hakama : Buy in Tanzia Port (1100z) : ※港店売り
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Yamato Kote/Hyuga Kote : Mohran Scale+ x6, Mohran Brace+ x1, Earth Dragongem x1, Bathycite Ore x3 : 6 峯山龍の上蒼鱗, 1 峯山龍の上腕甲, 1 大地の龍玉, 3 デプスライト鉱石
Yamato Koshiate/Hyuga Koshiate : Mohran Brace+ x4, Mohran Carapace x6, Mohran Scale+ x2, Rathalos Plate x1 : 4 峯山龍の上腕甲, 6 峯山龍の堅岩殻, 2 峯山龍の上蒼鱗, 1 火竜の逆鱗
Yamato Gusoku/Hyuga Hakama : Mohran Scale+ x5, Mohran Carapace x6, Earth Dragongem x1, Big Fin x10 : 5 峯山龍の上蒼鱗, 6 峯山龍の堅岩殻, 1 大地の龍玉, 10 大きなヒレ
Mutsu Eboshi/Amagi Hachigane : Sturdy Fang+ x4, Mohran Scale+ x5, Mohran Carapace x3, Rathian Plate x1 : 4 猛々しい龍鋭牙, 5 峯山龍の上蒼鱗, 3 峯山龍の堅岩殻, 1 雌火竜の逆鱗
Mutsu Doate/Amagi Muneate : Mohran Carapace x6, Sturdy Fang+ x4, ElderDragonBlood x1, Quality Fin x6 : 6 峯山龍の堅岩殻, 4 猛々しい龍鋭牙, 1 古龍の血, 6 上質なヒレ
Mutsu Kote/Amagi Kote : Mohran Scale+ x6, Mohran Brace+ x1, Earth Dragongem x1, Bathycite Ore x3 : 6 峯山龍の上蒼鱗, 1 峯山龍の上腕甲, 1 大地の龍玉, 3 デプスライト鉱石
Mutsu Koshiate/Amagi Koshiate : Mohran Brace+ x4, Mohran Carapace x6, Mohran Scale+ x2, Rathalos Plate x1 : 4 峯山龍の上腕甲, 6 峯山龍の堅岩殻, 2 峯山龍の上蒼鱗, 1 火竜の逆鱗
Mutsu Gusoku/Amagi Hakama : Mohran Scale+ x5, Mohran Carapace x6, Earth Dragongem x1, Big Fin x10 : 5 峯山龍の上蒼鱗, 6 峯山龍の堅岩殻, 1 大地の龍玉, 10 大きなヒレ
Vangis Helm : Deviljho Scalp x2, Deviljho Hide x4, Deviljho Saliva x3, Barioth Spike x1 : 2 恐暴竜の頭殻, 4 恐暴竜の黒皮, 3 恐暴竜の唾液, 1 氷牙竜の棘
Vangis Mail : Deviljho Fang x5, Deviljho Talon x4, Deviljho Hide x5, Zinogre Jasper x1 : 5 恐暴竜の大牙, 4 恐暴竜の鉤爪, 5 恐暴竜の黒皮, 1 雷狼竜の碧玉
Vangis Vambraces : Deviljho Scale x6, Deviljho Fang x5, Deviljho Saliva x3, Narga Medulla x1 : 6 恐暴竜の黒鱗, 5 恐暴竜の大牙, 3 恐暴竜の唾液, 1 迅竜の延髄
Vangis Coil : Deviljho Hide x4, Deviljho Gem x1, Deviljho Scale x6, Duram Tailbone x1 : 4 恐暴竜の黒皮, 1 恐暴竜の宝玉, 6 恐暴竜の黒鱗, 1 尾槌竜の尾骨
Vangis Greaves : Deviljho Talon x4, Deviljho Scale x6, Deviljho Saliva x3, Uragaan Marrow x1 : 4 恐暴竜の鉤爪, 6 恐暴竜の黒鱗, 3 恐暴竜の唾液, 1 爆鎚竜の骨髄
Vangis Cap : Deviljho Scalp x2, Deviljho Hide x4, Deviljho Saliva x3, Barioth Spike x1 : 2 恐暴竜の頭殻, 4 恐暴竜の黒皮, 3 恐暴竜の唾液, 1 氷牙竜の棘
Vangis Vest : Deviljho Fang x5, Deviljho Talon x4, Deviljho Hide x5, Zinogre Jasper x1 : 5 恐暴竜の大牙, 4 恐暴竜の鉤爪, 5 恐暴竜の黒皮, 1 雷狼竜の碧玉
Vangis Guards : Deviljho Scale x6, Deviljho Fang x5, Deviljho Saliva x3, Narga Medulla x1 : 6 恐暴竜の黒鱗, 5 恐暴竜の大牙, 3 恐暴竜の唾液, 1 迅竜の延髄
Vangis Coat : Deviljho Hide x4, Deviljho Gem x1, Deviljho Scale x6, Duram Tailbone x1 : 4 恐暴竜の黒皮, 1 恐暴竜の宝玉, 6 恐暴竜の黒鱗, 1 尾槌竜の尾骨
Vangis Leggings : Deviljho Talon x4, Deviljho Scale x6, Deviljho Saliva x3, Uragaan Marrow x1 : 4 恐暴竜の鉤爪, 6 恐暴竜の黒鱗, 3 恐暴竜の唾液, 1 爆鎚竜の骨髄
Escadora Wisdom : Brkn Skypiercer x4, Skypiercer x1, Alatreon Plate x6, S.Barioth Claw+ x1 : 4 砕けた天角, 1 天をつらぬく角, 6 煌黒龍の逆鱗, 1 風牙竜の鋭爪
Escadora Soul : Alatreon Scute x6, Alatreon Talon x6, Brkn Skypiercer x4, Nibelsnarf Scalp x3 : 6 煌黒龍の堅逆鱗, 6 煌黒龍の尖爪, 4 砕けた天角, 3 潜口竜の頭殻
Escadora Arms : Alatreon Talon x6, Alatreon Scute x6, ElderDragonBlood x1, Blackcurl Horn x1 : 6 煌黒龍の尖爪, 6 煌黒龍の堅逆殻, 1 古龍の血, 1 上質な黒巻き角
Escadora Might : Alatreon Webbing x1, Alatreon Tail x1, Alatreon Plate x5, Deviljho Scalp x2 : 1 煌黒龍の翼膜, 1 煌黒龍の尻尾, 5 煌黒龍の逆鱗, 2 恐暴竜の頭殻
Escadora Scale : Alatreon Plate x6, Alatreon Scute x6, Azure Dragongem x1, Majestic Horn x2 : 6 煌黒龍の逆鱗, 6 煌黒龍の堅逆殻, 1 瑠璃色の龍玉, 2 上質なねじれた角
Escadora Sagesse : Brkn Skypiercer x4, Skypiercer x1, Alatreon Plate x6, S.Barioth Claw+ x1 : 4 砕けた天角, 1 天をつらぬく角, 6 煌黒龍の逆鱗, 1 風牙竜の鋭爪
Escadora Seele : Alatreon Scute x6, Alatreon Talon x6, Brkn Skypiercer x4, Nibelsnarf Scalp x3 : 6 煌黒龍の堅逆鱗, 6 煌黒龍の尖爪, 4 砕けた天角, 3 潜口竜の頭殻
Escadora Arma : Alatreon Talon x6, Alatreon Scute x6, ElderDragonBlood x1, Blackcurl Horn x1 : 6 煌黒龍の尖爪, 6 煌黒龍の堅逆殻, 1 古龍の血, 1 上質な黒巻き角
Escadora Force : Alatreon Webbing x1, Alatreon Tail x1, Alatreon Plate x5, Deviljho Scalp x2 : 1 煌黒龍の翼膜, 1 煌黒龍の尻尾, 5 煌黒龍の逆鱗, 2 恐暴竜の頭殻
Escadora Scala : Alatreon Plate x6, Alatreon Scute x6, Azure Dragongem x1, Majestic Horn x2 : 6 煌黒龍の逆鱗, 6 煌黒龍の堅逆殻, 1 瑠璃色の龍玉, 2 上質なねじれた角
Pirate J Hat : Pirate J Ticket x1, Volvidon Shell x3, Rathalos Scale+ x5, S.Uragaan Scale+ x6 : 1 海賊Ｊチケット, 3 赤甲獣の甲殻, 5 火竜の上鱗, 6 鋼鎚竜の上鱗
Pirate J Suit : Pirate J Ticket x1, Volvidon Claw+ x3, Uncanny Hide+ x2, Scalding Pleura x3 : 1 海賊Ｊチケット, 2 赤甲獣の尖爪, 2 不気味な上皮, 3 赤熱した堅胸殻
Pirate J Gloves : Pirate J Ticket x1, Volvi Carapace x4, Rathalos Ruby x1, Agnak Carapace x5 : 1 海賊Ｊチケット, 4 赤甲獣の堅殻, 1 火竜の紅玉, 5 炎戈竜の堅殻
Pirate J Coil : Pirate J Ticket x1, Volvi Carapace x3, S.Uragaan Scute x3, Agnaktor Hide+ x4 : 1 海賊Ｊチケット, 3 赤甲獣の堅殻, 3 鋼鎚竜の耐熱殻, 4 炎戈竜の上皮
Pirate J Boots : Pirate J Ticket x1, Volvi Rickrack x4, Rathalos Carapace x4, S.Urag Carapace x4 : 1 海賊Ｊチケット, 4 赤甲獣の蛇腹甲, 4 火竜の堅殻, 4 鋼鎚竜の堅殻
Pirate J Cap : Pirate J Ticket x1, Volvidon Shell x3, Rathalos Scale+ x5, S.Uragaan Scale+ x6 : 1 海賊Ｊチケット, 3 赤甲獣の甲殻, 5 火竜の上鱗, 6 鋼鎚竜の上鱗
Pirate J Jacket : Pirate J Ticket x1, Volvidon Claw+ x3, Uncanny Hide+ x2, Scalding Pleura x3 : 1 海賊Ｊチケット, 2 赤甲獣の尖爪, 2 不気味な上皮, 3 赤熱した堅胸殻
Pirate J Cuffs : Pirate J Ticket x1, Volvi Carapace x4, Rathalos Ruby x1, Agnak Carapace x5 : 1 海賊Ｊチケット, 4 赤甲獣の堅殻, 1 火竜の紅玉, 5 炎戈竜の堅殻
Pirate J Coat : Pirate J Ticket x1, Volvi Carapace x3, S.Uragaan Scute x3, Agnaktor Hide+ x4 : 1 海賊Ｊチケット, 3 赤甲獣の堅殻, 3 鋼鎚竜の耐熱殻, 4 炎戈竜の上皮
Pirate J Pants : Pirate J Ticket x1, Volvi Rickrack x4, Rathalos Carapace x4, S.Urag Carapace x4 : 1 海賊Ｊチケット, 4 赤甲獣の蛇腹甲, 4 火竜の堅殻, 4 鋼鎚竜の堅殻
Bnahabra X Hat : Bnahabra Cutwing x2, Bnaha Carapace x3, Bnahabra Spine x2, Emperor Hopper x2 : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 飛甲虫の麻痺針, 2 皇帝バッタ
Bnahabra X Suit : Bnahabra Cutwing x2, Bnaha Carapace x3, Monster Essence x2, Emperor Hopper x2 : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 モンスターの特濃, 2 皇帝バッタ
Bnahabra X Gloves : Bnahabra Cutwing x2, Bnahabra Wing x5, Prized Stomach x2, Monster Essence x3 : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 2 極上の腹袋, 3 モンスターの特濃
Bnahabra X Coil : Bnahabra Cutwing x2, Bnahabra Wing x5, Monster Essence x1, Flutterfly x1 : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 1 モンスターの特濃, 1 マボロシチョウ
Bnahabra X Boots : Bnahabra Cutwing x2, Bnahabra Wing x3, Prized Stomach x1, Monster Essence x3 : 2 飛甲虫の斬羽, 3 飛甲虫の羽, 1 極上の腹袋, 3 モンスターの特濃
Bnahabra X Headpiece : Bnahabra Cutwing x2, Bnaha Carapace x3, Bnahabra Spine x2, Emperor Hopper x2 : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 飛甲虫の麻痺針, 2 皇帝バッタ
Bnahabra X Vest : Bnahabra Cutwing x2, Bnaha Carapace x3, Monster Essence x2, Emperor Hopper x2 : 2 飛甲虫の斬羽, 3 飛甲虫の堅殻, 2 モンスターの特濃, 2 皇帝バッタ
Bnahabra X Sleeves : Bnahabra Cutwing x2, Bnahabra Wing x5, Prized Stomach x2, Monster Essence x3 : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 2 極上の腹袋, 3 モンスターの特濃
Bnahabra X Coat : Bnahabra Cutwing x2, Bnahabra Wing x5, Monster Essence x1, Flutterfly x1 : 2 飛甲虫の斬羽, 5 飛甲虫の羽, 1 モンスターの特濃, 1 マボロシチョウ
Bnahabra X Pants : Bnahabra Cutwing x2, Bnahabra Wing x3, Prized Stomach x1, Monster Essence x3 : 2 飛甲虫の斬羽, 3 飛甲虫の羽, 1 極上の腹袋, 3 モンスターの特濃
Rhenoplos X Helm : Rhenoplos Bone x2, Massive Bone x3, Gracium x4 : 2 草食竜の重骨, 3 重厚な骨, 4 グラシスメタル
Rhenoplos X Mail : Rhenoplos Bone x2, Monster Bone L x3, Eltalite Ore x2 : 2 草食竜の重骨, 3 竜骨【大】, 2 エルトライト鉱石
Rhenoplos X Braces : Rhenoplos Bone x3, Avian Stoutbone x6, Gracium x4 : 3 草食竜の重骨, 6 堅牢な鳥竜骨, 4 グラシスメタル
Rhenoplos X Coil : Rhenoplos Bone x1, Massive Bone x4, Gracium x4 : 1 草食竜の重骨, 4 重厚な骨, 4 グラシスメタル
Rhenoplos X Greaves : Rhenoplos Bone x3, Monster Bone L x8, Eltalite Ore x2 : 3 草食獣の重骨, 8 竜骨【大】, 2 エルトライト鉱石
Rhenoplos X Cap : Rhenoplos Bone x2, Massive Bone x3, Gracium x4 : 2 草食竜の重骨, 3 重厚な骨, 4 グラシスメタル
Rhenoplos X Vest : Rhenoplos Bone x2, Monster Bone L x3, Eltalite Ore x2 : 2 草食竜の重骨, 3 竜骨【大】, 2 エルトライト鉱石
Rhenoplos X Guards : Rhenoplos Bone x3, Avian Stoutbone x6, Gracium x4 : 3 草食竜の重骨, 6 堅牢な鳥竜骨, 4 グラシスメタル
Rhenoplos X Coat : Rhenoplos Bone x1, Massive Bone x4, Gracium x4 : 1 草食竜の重骨, 4 重厚な骨, 4 グラシスメタル
Rhenoplos X Leggings : Rhenoplos Bone x3, Monster Bone L x8, Eltalite Ore x2 : 3 草食獣の重骨, 8 竜骨【大】, 2 エルトライト鉱石
Slagtoth X Hood : Supple Piel x4, Slagtoth Hide+ x3, Prized Pelt x2 : 4 柔軟な厚皮, 3 垂皮竜の上皮, 2 極上の毛皮
Slagtoth X Cloak : Supple Piel x2, Slagtoth Hide+ x5, Prized Pelt x2 : 2 柔軟な厚皮, 5 垂皮竜の上皮, 2 極上の毛皮
Slagtoth X Cowl : Supple Piel x4, Slagtoth Hide+ x3, Prized Pelt x2 : 4 柔軟な厚皮, 3 垂皮竜の上皮, 2 極上の毛皮
Slagtoth X Wrap : Supple Piel x2, Slagtoth Hide+ x5, Prized Pelt x2 : 2 柔軟な厚皮, 5 垂皮竜の上皮, 2 極上の毛皮
Mosgharl X Vizor : Heavy Mossplate x1, Bumblepumpkin x4, Ancient Potion x2, Felvine x20 : 1 尾鎚竜の重苔甲, 4 ペピポパンプキン, 2 いにしえの秘薬, 20 マタタビ
Mosgharl X Ribplate : Heavy Mossplate x1, Bumblepumpkin x4, Gloamgrass Bud x1, Cactus Flower x20 : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 1 落陽草の花, 20 サボテンの花
Mosgharl X Creeper : Heavy Mossplate x1, Bumblepumpkin x5, Monster Essence x4, Hot Pepper x20 : 1 尾槌竜の重苔甲, 5 ペピポパンプキン, 4 モンスターの特濃, 20 トウガラシ
Mosgharl X Folia : Heavy Mossplate x1, Bumblepumpkin x5, Bnahabra Cutwing x4, Fire Herb x20 : 1 尾鎚竜の重苔甲, 5 ペピポパンプキン, 4 飛甲虫の斬羽, 20 火薬草
Mosgharl X Roots : Heavy Mossplate x1, Bumblepumpkin x4, Prized Stomach x3, Sleep Herb x20 : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 3 極上の腹袋, 20 ネムリ草
Mosgharl X Brim : Heavy Mossplate x1, Bumblepumpkin x4, Ancient Potion x2, Felvine x20 : 1 尾鎚竜の重苔甲, 4 ペピポパンプキン, 2 いにしえの秘薬, 20 マタタビ
Mosgharl X Ribguard : Heavy Mossplate x1, Bumblepumpkin x4, Gloamgrass Bud x1, Cactus Flower x20 : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 1 落陽草の花, 20 サボテンの花
Mosgharl X Tendril : Heavy Mossplate x1, Bumblepumpkin x5, Monster Essence x4, Hot Pepper x20 : 1 尾槌竜の重苔甲, 5 ペピポパンプキン, 4 モンスターの特濃, 20 トウガラシ
Mosgharl X Fronds : Heavy Mossplate x1, Bumblepumpkin x5, Bnahabra Cutwing x4, Fire Herb x20 : 1 尾鎚竜の重苔甲, 5 ペピポパンプキン, 4 飛甲虫の斬羽, 20 火薬草
Mosgharl X Redicles : Heavy Mossplate x1, Bumblepumpkin x4, Prized Stomach x3, Sleep Herb x20 : 1 尾槌竜の重苔甲, 4 ペピポパンプキン, 3 極上の腹袋, 20 ネムリ草
Jaggi X Helm : Imperial Frill x2, G.Jaggi Claw+ x2, Jaggi Scale+ x2, Eltalite Ore x3 : 2 偉大なエリマキ, 2 拘竜の尖爪, 2 ジャギィの上鱗, 3 エルトライト鉱石
Jaggi X Mail : G.Jaggi Piel x4, G.Jaggi Hide+ x4, Avian Stoutbone x3, Fucium Ore x2 : 4 狗竜の厚皮, 4 狗竜の上皮, 3 堅牢な鳥竜骨, 2 ユニオン鉱石
Jaggi X Vambraces : Fey Wyvern Gem x1, G.Jaggi Claw+ x5, G.Jaggi Head x1, Eltalite Ore x3 : 1 幻鳥竜玉, 5 狗竜の尖爪, 1 狗竜の頭, 3 エルトライト鉱石
Jaggi X Faulds : G.Jaggi Piel x4, Imperial Frill x2, Jaggi Scale+ x4, Eltalite Ore x5 : 4 狗竜の厚皮, 2 偉大なエリマキ, 4 ジャギィの上鱗, 5 エルトライト鉱石
Jaggi X Greaves : G.Jaggi Piel x3, G.Jaggi Hide+ x4, Avian Stoutbone x4, Fucium Ore x5 : 3 狗竜の厚皮, 4 狗竜の上皮, 4 堅牢な鳥竜骨, 5 ユニオン鉱石
Jaggi X Cap : Imperial Frill x2, G.Jaggi Claw+ x2, Jaggi Scale+ x2, Eltalite Ore x3 : 2 偉大なエリマキ, 2 拘竜の尖爪, 2 ジャギィの上鱗, 3 エルトライト鉱石
Jaggi X Vest : G.Jaggi Piel x4, G.Jaggi Hide+ x4, Avian Stoutbone x3, Fucium Ore x2 : 4 狗竜の厚皮, 4 狗竜の上皮, 3 堅牢な鳥竜骨, 2 ユニオン鉱石
Jaggi X Guards : Fey Wyvern Gem x1, G.Jaggi Claw+ x5, G.Jaggi Head x1, Eltalite Ore x3 : 1 幻鳥竜玉, 5 狗竜の尖爪, 1 狗竜の頭, 3 エルトライト鉱石
Jaggi X Coat : G.Jaggi Piel x4, Imperial Frill x2, Jaggi Scale+ x4, Eltalite Ore x5 : 4 狗竜の厚皮, 2 偉大なエリマキ, 4 ジャギィの上鱗, 5 エルトライト鉱石
Jaggi X Leggings : G.Jaggi Piel x3, G.Jaggi Hide+ x4, Avian Stoutbone x4, Fucium Ore x5 : 3 狗竜の厚皮, 4 狗竜の上皮, 4 堅牢な鳥竜骨, 5 ユニオン鉱石
Baggi X Helm : Imperial Crest x2, G.Baggi Claw+ x2, G.Baggi Hide+ x2, Gracium x3 : 2 偉大なトサカ, 2 眠狗竜の尖爪, 2 眠狗竜の上皮, 3 グラシスメタル
Baggi X Mail : Great Baggi Piel x4, G.Baggi Hide+ x4, Avian Stoutbone x3, Emperor Hopper x2 : 4 眠狗竜の厚皮, 4 眠狗竜の上皮, 3 堅牢な鳥竜骨, 2 皇帝バッタ
Baggi X Vambraces : Fey Wyvern Gem x1, G.Baggi Claw+ x5, Coma Sac x1, Gracium x3 : 1 幻鳥竜玉, 5 眠狗竜の尖爪, 1 昏睡袋, 3 グラシスメタル
Baggi X Faulds : Great Baggi Piel x3, Imperial Crest x2, Baggi Scale+ x4, Gracium x5 : 3 眠狗竜の厚皮, 2 偉大なトサカ, 4 バギィの上鱗, 5 グラシスメタル
Baggi X Greaves : Great Baggi Piel x2, G.Baggi Hide+ x4, Avian Stoutbone x4, Emperor Hopper x5 : 2 眠狗竜の厚皮, 4 眠狗竜の上皮, 4 堅牢な鳥竜骨, 5 皇帝バッタ
Baggi X Cap : Imperial Crest x2, G.Baggi Claw+ x2, G.Baggi Hide+ x2, Gracium x3 : 2 偉大なトサカ, 2 眠狗竜の尖爪, 2 眠狗竜の上皮, 3 グラシスメタル
Baggi X Vest : Great Baggi Piel x4, G.Baggi Hide+ x4, Avian Stoutbone x3, Emperor Hopper x2 : 4 眠狗竜の厚皮, 4 眠狗竜の上皮, 3 堅牢な鳥竜骨, 2 皇帝バッタ
Baggi X Guards : Fey Wyvern Gem x1, G.Baggi Claw+ x5, Coma Sac x1, Gracium x3 : 1 幻鳥竜玉, 5 眠狗竜の尖爪, 1 昏睡袋, 3 グラシスメタル
Baggi X Coat : Great Baggi Piel x3, Imperial Crest x2, Baggi Scale+ x4, Gracium x5 : 3 眠狗竜の厚皮, 2 偉大なトサカ, 4 バギィの上鱗, 5 グラシスメタル
Baggi X Leggings : Great Baggi Piel x2, G.Baggi Hide+ x4, Avian Stoutbone x4, Emperor Hopper x5 : 2 眠狗竜の厚皮, 4 眠狗竜の上皮, 4 堅牢な鳥竜骨, 5 皇帝バッタ
Wroggi X Helm : Imperial Beak x2, G.Wroggi Brace+ x2, Wroggi Scale+ x2, Bathycite Ore x3 : 2 偉大なクチバシ, 2 毒拘竜の堅腕甲, 2 フロギィの上鱗, 3 デプスライト鉱石
Wroggi X Mail : G.Wroggi Piel x4, G.Wroggi Hide+ x4, Avian Stoutbone x3, Meldspar Ore x2 : 4 毒狗竜の厚皮, 4 毒狗竜の上皮, 3 堅牢な鳥竜骨, 2 メランジェ鉱石
Wroggi X Vambraces : Fey Wyvern Gem x1, G.Wroggi Brace+ x5, Toxin Sac x1, Bathycite Ore x3 : 1 幻鳥竜玉, 5 毒狗竜の堅腕甲, 1 猛毒袋, 3 デプスライト鉱石
Wroggi X Faulds : G.Wroggi Piel x3, King's Beak x2, Wroggi Scale+ x4, Bathycite Ore x5 : 3 毒狗竜の厚皮, 2 王者のクチバシ, 4 フロギィの上鱗, 5 デプスライト鉱石
Wroggi X Greaves : G.Wroggi Piel x2, G.Wroggi Hide+ x4, Avian Stoutbone x4, Meldspar Ore x2 : 2 毒狗竜の厚皮, 4 毒狗竜の上皮, 4 堅牢な鳥竜骨, 2 メランジェ鉱石
Wroggi X Cap : Imperial Beak x2, G.Wroggi Brace+ x2, Wroggi Scale+ x2, Bathycite Ore x3 : 2 偉大なクチバシ, 2 毒拘竜の堅腕甲, 2 フロギィの上鱗, 3 デプスライト鉱石
