Yukumo Kasa : 1 Yukumo Wood, 1 Gagua Feather
Yukumo Dogi : 2 Yukumo Wood, 2 Ivy
Yukumo Kote : 2 Yukumo Wood, 1 Ivy
Yukumo Obi : 1 Yukumo Wood, 2 Iron Ore
Yukumo Hakama : 2 Yukumo Wood, 2 Carpenterbug
Leather Headgear : 1 Warm Pelt, 1 Iron Ore
Leather Vest : 1 Bullfango Pelt, 1 Iron Ore
Leather Gloves : 2 Warm Pelt
Leather Belt : 1 Bullfango Pelt, 1 Iron Ore
Leather Pants : 2 Warm Pelt
Chainmail Headgear : 1 Earth Crystal, 1 Iron Ore
Chainmail Vest : 2 Iron Ore, 1 Yukumo Wood
Chainmail Gloves : 1 Iron Ore, 2 Yukumo Wood
Chainmail Belt : 1 Iron Ore, 2 Warm Pelt
Chainmail Pants : 2 Iron Ore, 2 Yukumo Wood
Loc Lac Shawl : 1 Altaroth Stomach, 3 Monster Fluid, 3 Ice Crystal
Loc Lac Kilt : 2 Altaroth Stomach, 2 Altaroth Jaw, 3 Ice Crystal
Loc Lac Boots : 3 Altaroth Jaw, 2 Altaroth Stomach, 3 Ice Crystal
Hunter's Helm : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Mail : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Vambraces : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Faulds : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Greaves : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Hunter's Cap : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Vest : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Guards : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Coat : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Leggings : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Bone Helm : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Mail : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Vambraces : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Faulds : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Greaves : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Bone Cap : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Vest : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Guards : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Coat : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Leggings : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Alloy Helm : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Mail : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Vambraces : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coil : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Greaves : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Alloy Cap : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Vest : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Guards : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coat : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Leggings : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Jaggi S Leggings : 4 Jaggi Scale+, 4 Jaggi Hide, 7 Bird Wyvern Bone, 2 Dragonite Ore
Froggi S Helm : 3 Great Frggi Hide+, 2 King's Break, 1 Brd Wyvern Gem, 6 Hercudrome
Froggi S Mail : 2 Toxin Sac, 2 Great Frggi Arm, 2 Froggi Scale+, 6 Hercudrome
Froggi S Vambraces : 3 Grt Frggi Arm+, 3 Great Frggi Hide+, 4 Toxin Sac, 1 Bathycite Ore
Froggi S Faulds : 4 Froggi Scale+, 7 Froggi Hide, 5 Bird Wyvern Bone, 3 Bathycite Ore
Froggi S Greaves : 4 Grt Frggi Arm+, 3 Great Frggi Hide+, 3 Great Froggi Hide, 4 King Scarab
Froggi S Cap : 3 Great Frggi Hide+, 2 King's Break, 1 Brd Wyvern Gem, 6 Hercudrome
Froggi S Vest : 2 Toxin Sac, 2 Great Frggi Arm, 2 Froggi Scale+, 6 Hercudrome
Froggi S Guards : 3 Grt Frggi Arm+, 3 Great Frggi Hide+, 4 Toxin Sac, 1 Bathycite Ore
Froggi S Coat : 4 Froggi Scale+, 7 Froggi Hide, 5 Bird Wyvern Bone, 3 Bathycite Ore
Froggi S Leggings : 4 Grt Frggi Arm+, 3 Great Frggi Hide+, 3 Great Froggi Hide, 4 King Scarab
Urkusus S Helm : 2 Urkusus Ear+, 2 Stout Bone, 5 Baggi Hide, 3 Gracium
Urkusus S Mail : 3 Urkusus Belly+, 3 Urkusus Pelt+, 6 Baggi Scale+, 2 King Scarab
Urkusus S Vambraces : 2 Urkusus Claw+, 3 Urkusus Pelt, 3 Urkusus Belly+, 2 King Scarab
Urkusus S Faulds : 3 Urkusus Pelt+, 2 Urkusus Claw+, 3 Stout Bone, 8 Hercudrome
Urkusus S Greaves : 3 Urkusus Pelt+, 3 Urkusus Belly+, 1 Urkusus Claw+, 8 Velvety Hide
Urkusus S Cap : 2 Urkusus Ear+, 2 Stout Bone, 5 Baggi Hide, 3 Gracium
Urkusus S Vest : 3 Urkusus Belly+, 3 Urkusus Pelt+, 6 Baggi Scale+, 2 King Scarab
Urkusus S Guards : 2 Urkusus Claw+, 3 Urkusus Pelt, 3 Urkusus Belly+, 2 King Scarab
Urkusus S Coat : 3 Urkusus Pelt+, 2 Urkusus Claw+, 3 Stout Bone, 8 Hercudrome
Urkusus S Leggings : 3 Urkusus Pelt+, 3 Urkusus Belly+, 1 Urkusus Claw+, 8 Velvety Hide
Steel S Mail : 3 Gracium, 4 Lightcrystal, 4 Fire Stone, 15 Iron Ore
Steel S Vambraces : 1 Gracium, 3 Bathycite Ore, 5 Dragonite Ore, 10 Earth Crystal
Steel S Faulds : 4 Gracium, 7 Carbalite Ore, 5 Dragonite Ore, 8 Machalite Ore
Aoashira S Helm : 3 Aoashira Carapace, 2 Stout Bone, 3 Aoashira Pelt, 3 Hercudrome
Aoashira S Mail : 5 Aoashira Pelt+, 2 Aoashira Carapace, 3 BnahabraCarapace, 2 King Scarab
Aoashira S Vambraces : 3 Aoashira Carapace, 3 Aoashira Brace+, 3 Aoashira Pelt, 2 Quality Sac
Aoashira S Faulds : 5 Aoashira Pelt+, 2 Stout Bone, 3 Aoashira Shell, 3 Hercudrome
Aoashira S Greaves : 2 Aoashira Brace+, 4 Aoashira Pelt+, 3 Bnahabra Shell, 2 King Scarab
Aoashira S Cap : 3 Aoashira Carapace, 2 Stout Bone, 3 Aoashira Pelt, 3 Hercudrome
Aoashira S Vest : 5 Aoashira Pelt+, 2 Aoashira Carapace, 3 BnahabraCarapace, 2 King Scarab
Aoashira S Guards : 3 Aoashira Carapace, 3 Aoashira Brace+, 3 Aoashira Pelt, 2 Quality Sac
Aoashira S Coat : 5 Aoashira Pelt+, 2 Stout Bone, 3 Aoashira Shell, 3 Hercudrome
Aoashira S Leggings : 2 Aoashira Brace+, 4 Aoashira Pelt+, 3 Bnahabra Shell, 2 King Scarab
Chakra Earring : 3 Carbalite Ore, 2 Lightcrystal
Chakra Necklace : 3 Carbalite Ore, 2 Lightcrystal
Chakra Bracelet : 3 Carbalite Ore, 2 Lightcrystal
Chakra Waistlet : 3 Carbalite Ore, 2 Lightcrystal
Chakra Anklet : 3 Carbalite Ore, 2 Lightcrystal
Yuami Headpiece+ : 1 Commendation+, 8 HotSpringTicket, 4 Drink Ticket, 3 Yukumo Ticket
Yuami Towel+ : 1 Commendation+, 8 HotSpringTicket, 4 Drink Ticket, 3 Yukumo Ticket
Yuami Wrist+ : 1 Commendation+, 8 HotSpringTicket, 4 Drink Ticket, 3 Yukumo Ticket
Yuami Sandals+ : 1 Commendation+, 8 HotSpringTicket, 4 Drink Ticket, 3 Yukumo Ticket
Pumpkin S Helm : 3 King Scarab, 4 Pepiper Pumpkin, 1 Ancient Potion, 15 Felvine
Pumpkin S Mail : 3 King Scarab, 4 Pepiper Pumpkin, 2 Max Potion, 15 Cactus Flower
Pumpkin S Vambraces : 4 King Scarab, 5 Pepiper Pumpkin, 3 Monster Broth, 15 Hot Pepper
Pumpkin S Faulds : 4 King Scarab, 5 Pepiper Pumpkin, 4 BnahabraCarapace, 15 Frost Herb
Pumpkin S Greaves : 4 King Scarab, 4 Pepiper Pumpkin, 3 Quality Sac, 15 Sleep Herb
Pumpkin S Cap : 3 King Scarab, 4 Pepiper Pumpkin, 1 Ancient Potion, 15 Felvine
Pumpkin S Vest : 3 King Scarab, 4 Pepiper Pumpkin, 2 Max Potion, 15 Cactus Flower
Pumpkin S Guards : 4 King Scarab, 5 Pepiper Pumpkin, 3 Monster Broth, 15 Hot Pepper
Pumpkin S Coat : 4 King Scarab, 5 Pepiper Pumpkin, 4 BnahabraCarapace, 15 Frost Herb
Pumpkin S Leggings : 4 King Scarab, 4 Pepiper Pumpkin, 3 Quality Sac, 15 Sleep Herb
Qurupeco S Helm : 2 Wonderful Beak, 2 Qurupeco Wing, 1 Monster Bone+, 3 Hercudrome
Qurupeco S Mail : 3 Qurupeco Scale+, 2 Vivid Feather, 1 Monster Bone+, 2 King Scarab
Qurupeco S Vambraces : 3 Qurupeco Scale+, 1 Flintstone, 4 Qurupeco Feathr, 2 King Scarab
Qurupeco S Coil : 2 Qurupeco Wing, 3 Qurupeco Scale+, 1 Sharp Bone, 5 Killer Beetle
Qurupeco S Greaves : 3 Qurupeco Wing, 3 Qurupeco Scale+, 2 Vivid Feather, 3 Hercudrome
Qurupeco S Cap : 2 Wonderful Beak, 2 Qurupeco Wing, 1 Monster Bone+, 3 Hercudrome
Qurupeco S Vest : 3 Qurupeco Scale+, 2 Vivid Feather, 1 Monster Bone+, 2 King Scarab
Qurupeco S Guards : 3 Qurupeco Scale+, 1 Flintstone, 4 Qurupeco Feathr, 2 King Scarab
Qurupeco S Coat : 2 Qurupeco Wing, 3 Qurupeco Scale+, 1 Sharp Bone, 5 Killer Beetle
Qurupeco S Leggings : 3 Qurupeco Wing, 3 Qurupeco Scale+, 2 Vivid Feather, 3 Hercudrome
Ludroth S Helm : 2 R.Ludroth Crest+, 3 RoyalLudrthScl+, 1 R.Ludroth Tail, 2 Aqueous Sac
Ludroth S Mail : 3 Spongy Hide+, 3 Ludroth Hide+, 6 Ludroth Hide, 2 King Scarab
Ludroth S Vambraces : 3 R.Ludroth Claw+, 4 RoyalLudrthScl+, 2 Spongy Hide+, 5 Hercudrome
Ludroth S Faulds : 4 Ludroth Hide+, 6 Immature Sponge, 2 Sharp Bone, 2 King Scarab
Ludroth S Greaves : 2 R.Ludroth Claw+, 3 RoyalLudrthScl+, 3 Spongy Hide+, 5 Killer Beetle
Ludroth S Cap : 2 R.Ludroth Crest+, 3 RoyalLudrthScl+, 1 R.Ludroth Tail, 2 Aqueous Sac
Ludroth S Vest : 3 Spongy Hide+, 3 Ludroth Hide+, 6 Ludroth Hide, 2 King Scarab
Ludroth S Guards : 3 R.Ludroth Claw+, 4 RoyalLudrthScl+, 2 Spongy Hide+, 5 Hercudrome
Ludroth S Coat : 4 Ludroth Hide+, 6 Immature Sponge, 2 Sharp Bone, 2 King Scarab
Ludroth S Leggings : 2 R.Ludroth Claw+, 3 RoyalLudrthScl+, 3 Spongy Hide+, 5 Killer Beetle
Vaiku S Helm : 3 Bathycite Ore, 4 Armored Shadfish, 5 Large Beltfish, 15 Sin Sardine
Vaiku S Mail : 2 Bathycite Ore, 5 Armored Shadfish, 5 Unari Shellfish, 10 Bomb Arrowana
Vaiku S Vambraces : 3 Bathycite Ore, 4 Armored Shadfish, 3 Ancient Fish, 4 Quality Fin
Vaiku S Faulds : 2 Bathycite Ore, 5 Armored Shadfish, 5 Scatterfish, 20 Sushifish
Vaiku S Greaves : 3 Bathycite Ore, 4 Armored Shadfish, 20 Whetfish, 4 Quality Fin
Vaiku S Cap : 3 Bathycite Ore, 4 Armored Shadfish, 5 Large Beltfish, 15 Sin Sardine
Vaiku S Vest : 2 Bathycite Ore, 5 Armored Shadfish, 5 Unari Shellfish, 10 Bomb Arrowana
Vaiku S Guards : 3 Bathycite Ore, 4 Armored Shadfish, 3 Ancient Fish, 4 Quality Fin
Vaiku S Coat : 2 Bathycite Ore, 5 Armored Shadfish, 5 Scatterfish, 20 Sushifish
Vaiku S Leggings : 3 Bathycite Ore, 4 Armored Shadfish, 20 Whetfish, 4 Quality Fin
Nadeshiko Cap : 3 Yukumo Wood+, 5 Gagua Feather, 3 Rustshard, 5 Pepiper Pumpkin
Nadeshiko Vest : 3 Yukumo Wood+, 3 HotSpringTicket, 1 Lrg Ancnt Shard, 3 Sound Cricket
Nadeshiko Sleeves : 3 Yukumo Wood+, 1 Drink Ticket, 1 Thn Ancnt Shard, 3 Large Beltfish
Nadeshiko Waist : 3 Yukumo Wood+, 2 Comrade Ticket, 5 Armored Shadfish, 5 Unari Shellfish
Nadeshiko Skirt : 3 Yukumo Wood+, 2 Yukumo Ticket, 1 Lng Ancnt Shard, 5 Great Swallowtail
Kikyo Cap : 3 Yukumo Wood+, 5 Gagua Feather, 3 Rustshard, 5 Pepiper Pumpkin
Kikyo Vest : 3 Yukumo Wood+, 3 HotSpringTicket, 1 Lrg Ancnt Shard, 3 Sound Cricket
Kikyo Sleeves : 3 Yukumo Wood+, 1 Drink Ticket, 1 Thn Ancnt Shard, 3 Large Beltfish
Kikyo Waist : 3 Yukumo Wood+, 2 Comrade Ticket, 5 Armored Shadfish, 5 Unari Shellfish
Kikyo Skirt : 3 Yukumo Wood+, 2 Yukumo Ticket, 1 Lng Ancnt Shard, 5 Great Swallowtail
Barroth S Helm : 4 Barroth Ridge+, 2 Barroth Carapce, 5 Fertile Mud, 4 Jaggi Scale
Barroth S Mail : 4 Barroth Ridge+, 3 Barroth Scalp, 5 Fertile Mud, 3 Bulldrome Hide+
Barroth S Vambraces : 4 Barroth Claw+, 2 Barroth Carapce, 2 Monster Bone+, 4 Jaggi Scale
Barroth S Faulds : 2 Barroth Carapce, 3 Barroth Ridge+, 2 Monster Bone+, 5 Bulldrome Hide
Barroth S Greaves : 3 Barroth Carapce, 1 Barroth Tail, 3 Sharp Bone, 4 Jaggi Scale+
Barroth S Cap : 4 Barroth Ridge+, 2 Barroth Carapce, 5 Fertile Mud, 4 Jaggi Scale
Barroth S Vest : 4 Barroth Ridge+, 3 Barroth Scalp, 5 Fertile Mud, 3 Bulldrome Hide+
Barroth S Guards : 4 Barroth Claw+, 2 Barroth Carapce, 2 Monster Bone+, 4 Jaggi Scale
Barroth S Coat : 2 Barroth Carapce, 3 Barroth Ridge+, 2 Monster Bone+, 5 Bulldrome Hide
Barroth S Leggings : 3 Barroth Carapce, 1 Barroth Tail, 3 Sharp Bone, 4 Jaggi Scale+
Baggi S Helm : 4 Great Baggi Hide+, 2 Great Baggi Claw, 2 Great Baggi Hide, 3 Gracium
Baggi S Mail : 4 Great Baggi Claw+, 1 Leader's Crest, 3 Brd Wyvern Gem, 4 Isisium
Baggi S Vambraces : 3 Great Baggi Claw+, 3 Great Baggi Hide+, 4 Coma Sac, 4 Isisium
Baggi S Coil : 3 Great Baggi Hide+, 1 Leader's Crest, 6 Baggi Scale+, 2 Lightcrystal
Baggi S Greaves : 2 Baggi Scale+, 6 Baggi Hide, 7 Bird Wyvern Bone, 3 Gracium
Baggi S Cap : 4 Great Baggi Hide+, 2 Great Baggi Claw, 2 Great Baggi Hide, 3 Gracium
Baggi S Vest : 4 Great Baggi Claw+, 1 Leader's Crest, 3 Brd Wyvern Gem, 4 Isisium
Baggi S Guards : 3 Great Baggi Claw+, 3 Great Baggi Hide+, 4 Coma Sac, 4 Isisium
Baggi S Coat : 3 Great Baggi Hide+, 1 Leader's Crest, 6 Baggi Scale+, 2 Lightcrystal
Baggi S Leggings : 2 Baggi Scale+, 6 Baggi Hide, 7 Bird Wyvern Bone, 3 Gracium
Ranguro S Helm : 3 Rangurtora Claw+, 3 Rangurotora Carapac, 3 Monster Broth, 2 Fire Stone
Ranguro S Mail : 3 Rangurotora Carapac, 4 Rangrtora Scute, 2 Stout Bone, 1 Firecell Stone
Ranguro S Vambraces : 3 Rangurtora Claw+, 6 Immobile Sac, 3 Stout Bone, 5 Dragonite Ore
Ranguro S Faulds : 3 Rangurotora Carapac, 4 Rangrtora Scute, 3 Monster Broth, 2 Fire Stone
Ranguro S Greaves : 3 Rangurtora Claw+, 3 Rangurotora Carapac, 1 Rangrtora Scute, 2 Union Ore
Ranguro S Cap : 3 Rangurtora Claw+, 3 Rangurotora Carapac, 3 Monster Broth, 2 Fire Stone
Ranguro S Vest : 3 Rangurotora Carapac, 4 Rangrtora Scute, 2 Stout Bone, 1 Firecell Stone
Ranguro S Guards : 3 Rangurtora Claw+, 6 Immobile Sac, 3 Stout Bone, 5 Dragonite Ore
Ranguro S Coat : 3 Rangurotora Carapac, 4 Rangrtora Scute, 3 Monster Broth, 2 Fire Stone
Ranguro S Leggings : 3 Rangurtora Claw+, 3 Rangurotora Carapac, 1 Rangrtora Scute, 2 Union Ore
Rathian S Helm : 2 Rathian Spike+, 4 Rathian Carapce, 2 Rath Marrow, 3 Inferno Sac
Rathian S Mail : 4 Rathian Scale+, 1 Rath Medulla, 1 Rathian Plate, 2 Fire Stone
Rathian S Vambraces : 4 Rathian Carapce, 3 Rath Talon, 2 Rathian Spike, 2 Firecell Stone
Rathian S Faulds : 3 Rathian Scale+, 4 Rathian Webbing, 1 Rathian Ruby, 2 Fire Stone
Rathian S Greaves : 4 Rathian Carapce, 4 Rathian Scale+, 3 Sharp Bone, 4 Union Ore
Rathian S Cap : 2 Rathian Spike+, 4 Rathian Carapce, 2 Rath Marrow, 3 Inferno Sac
Rathian S Vest : 4 Rathian Scale+, 1 Rath Medulla, 1 Rathian Plate, 2 Fire Stone
Rathian S Guards : 4 Rathian Carapce, 3 Rath Talon, 2 Rathian Spike, 2 Firecell Stone
Rathian S Coat : 3 Rathian Scale+, 4 Rathian Webbing, 1 Rathian Ruby, 2 Fire Stone
Rathian S Leggings : 4 Rathian Carapce, 4 Rathian Scale+, 3 Sharp Bone, 4 Union Ore
Guild Bard S Lobos/Scholar's S Beret : 1 Commendation+, 5 HotSpringTicket, 6 King Scarab, 2 Jinouga Conductor+
Guild Bard S Bolero/Scholar's S Blouse : 1 Commendation+, 2 Drink Ticket, 2 Firecell Stone, 3 Eerie Venom Gland
Guild Bard S Braces/Scholar's S Gloves : 1 Commendation+, 5 HotSpringTicket, 4 Rare Scarab, 3 Moist Chest Shell
Guild Bard S Coil/Scholar's S Skirt : 1 Commendation+, 2 Drink Ticket, 4 Gracium, 4 Pleural Membrane
Guild Bard S Boots/Scholar's S Socks : 1 Commendation+, 5 HotSpringTicket, 3 Union Ore, 3 Iridescent Fluid
Guild Bard S Hat/Scholar's S Cap : 1 Commendation+, 5 HotSpringTicket, 6 King Scarab, 2 Jinouga Conductor+
Guild Bard S Vest/Scholar's S Vest : 1 Commendation+, 2 Drink Ticket, 2 Firecell Stone, 3 Eerie Venom Gland
Guild Bard S Sleeves/Scholar's S Sleeves : 1 Commendation+, 5 HotSpringTicket, 4 Rare Scarab, 3 Moist Chest Shell
Guild Bard S Coat/Scholar's S Mini : 1 Commendation+, 2 Drink Ticket, 4 Gracium, 4 Pleural Membrane
Guild Bard S Gaiters/Scholar's S Sandals : 1 Commendation+, 5 HotSpringTicket, 3 Union Ore, 3 Iridescent Fluid
Gigginox S Helm : 3 Uncanny Hide+, 2 Toxin Sac, 5 Gigginox Hide, 5 Great Baggi Hide
Gigginox S Mail : 2 Gigginox Claw+, 4 Gigginox Hide+, 3 Eerie Psn Gland, 2 Lightcrystal
Gigginox S Vambraces : 5 Gigginox Hide+, 2 Gigginox Claw+, 2 Gigginox Claw, 4 Gracium
Gigginox S Faulds : 5 Gigginox Hide+, 3 Eerie Venom Gland, 2 Uncanny Hide, 6 Isisium
Gigginox S Greaves : 3 Eerie Venom Gland, 2 Uncanny Hide+, 2 Fearsome Maw, 4 Great Baggi Hide+
Gigginox S Cap : 3 Uncanny Hide+, 2 Toxin Sac, 5 Gigginox Hide, 5 Great Baggi Hide
Gigginox S Vest : 2 Gigginox Claw+, 4 Gigginox Hide+, 3 Eerie Psn Gland, 2 Lightcrystal
Gigginox S Guards : 5 Gigginox Hide+, 2 Gigginox Claw+, 2 Gigginox Claw, 4 Gracium
Gigginox S Coat : 5 Gigginox Hide+, 3 Eerie Venom Gland, 2 Uncanny Hide, 6 Isisium
Gigginox S Leggings : 3 Eerie Venom Gland, 2 Uncanny Hide+, 2 Fearsome Maw, 4 Great Baggi Hide+
Obituary S Testa/Butterfly S Testa : 3 Rare Scarab, 2 Great Swallowtail, 3 Super Thunderbug, 10 Godbug
Obituary S Petto/Butterfly S Petto : 2 Rare Scarab, 3 Great Swallowtail, 5 Sound Cricket, 10 Earbug
Obituary S Mano/Butterfly S Mano : 3 Rare Scarab, 2 Great Swallowtail, 5 Pale Extract, 10 Bitterbug
Obituary S Anca/Butterfly S Anca : 2 Rare Scarab, 3 Great Swallowtail, 10 Flashbug, 10 Bonhopper
Obituary S Gamba/Butterfly S Gamba : 3 Rare Scarab, 2 Great Swallowtail, 3 Monster Broth, 10 Snakebee Larva
Obituary S Caput/Butterfly S Caput : 3 Rare Scarab, 2 Great Swallowtail, 3 Super Thunderbug, 10 Godbug
Obituary S Pectus/Butterfly S Pectus : 2 Rare Scarab, 3 Great Swallowtail, 5 Sound Cricket, 10 Earbug
Obituary S Brasso/Butterfly S Brasso : 3 Rare Scarab, 2 Great Swallowtail, 5 Pale Extract, 10 Bitterbug
Obituary S Cocusa/Butterfly S Cocusa : 2 Rare Scarab, 3 Great Swallowtail, 10 Flashbug, 10 Bonhopper
Obituary S Femur/Butterfly S Femur : 3 Rare Scarab, 2 Great Swallowtail, 3 Monster Broth, 10 Snakebee Larva
Hapul S Helm : 4 Hapul Carapace, 4 Hapul Scalp, 2 Hapul Hide+, 6 Froggi Scale+
Hapul S Mail : 4 Hapul Hide+, 4 Hapul Carapace, 4 Iridescent Fluid, 5 Froggi Hide
Hapul S Vambraces : 3 Hapul Claw+, 3 Hapul Carapace, 4 Iridescent Fluid, 5 Great Froggi Hide
Hapul S Faulds : 2 Hapul Claw+, 3 Hapul Hide+, 4 Bright Fluid, 3 Grt Frggi Arm+
Hapul S Greaves : 4 Hapul Carapace, 1 Wyvern Stone, 3 Sharp Bone, 4 Great Frggi Hide+
Hapul S Cap : 4 Hapul Carapace, 4 Hapul Scalp, 2 Hapul Hide+, 6 Froggi Scale+
Hapul S Vest : 4 Hapul Hide+, 4 Hapul Carapace, 4 Iridescent Fluid, 5 Froggi Hide
Hapul S Guards : 3 Hapul Claw+, 3 Hapul Carapace, 4 Iridescent Fluid, 5 Great Froggi Hide
Hapul S Coat : 2 Hapul Claw+, 3 Hapul Hide+, 4 Bright Fluid, 3 Grt Frggi Arm+
Hapul S Leggings : 4 Hapul Carapace, 1 Wyvern Stone, 3 Sharp Bone, 4 Great Frggi Hide+
Acorn S Helm : 3 Bathycite Ore, 8 Comrade Ticket, 5 Fire Stone, 3 Molten Chest Cpc
Acorn S Mail : 3 Bathycite Ore, 8 Comrade Ticket, 3 Firecell Stone, 4 Steel Uragaan Scute
Acorn S Cap : 3 Bathycite Ore, 8 Comrade Ticket, 5 Fire Stone, 3 Molten Chest Cpc
Acorn S Vest : 3 Bathycite Ore, 8 Comrade Ticket, 3 Firecell Stone, 4 Steel Uragaan Scute
Ranger's Headgear : 6 Amatsu Carapace, 2 Mohran Shell, 4 Inferno Sac, 3 Yukumo Ticket
Ranger's Girdle : 3 Amatsu Webbing, 3 Mohran Scale, 4 Thunder Sac, 3 Yukumo Ticket
Ranger's Gauntlets : 9 Mohran Carapace, 1 Mohran Brace, 4 Freezer Sac, 3 Yukumo Ticket
Ranger's Faulds : 6 Mohran Scale+, 2 Mohran Shell, 4 Aqueous Sac, 3 Yukumo Ticket
Ranger's Espadrilles : 3 Amatsu Webbing, 3 Mohran Scale, 1 Earh Dragongem, 3 Yukumo Ticket
Archer's Turban : 6 Amatsu Carapace, 2 Mohran Shell, 4 Inferno Sac, 3 Yukumo Ticket
Archer's Girdle : 3 Amatsu Webbing, 3 Mohran Scale, 4 Thunder Sac, 3 Yukumo Ticket
Archer's Gauntlets : 9 Mohran Carapace, 1 Mohran Brace, 4 Freezer Sac, 3 Yukumo Ticket
Archer's Bandolier : 6 Mohran Scale+, 2 Mohran Shell, 4 Aqueous Sac, 3 Yukumo Ticket
Archer's Espadrilles : 3 Amatsu Webbing, 3 Mohran Scale, 1 Earh Dragongem, 3 Yukumo Ticket
Ancient S Mail : 3 Lrg Ancnt Shard, 5 Rustshard, 3 Union Ore, 6 Carbalite Ore
Ancient S Vambraces : 3 Thn Ancnt Shard, 5 Rustshard, 3 Union Ore, 9 Dragonite Ore
Ancient S Greaves : 3 Lng Ancnt Shard, 5 Rustshard, 6 Carbalite Ore, 9 Dragonite Ore
Ancient S Vest : 3 Lrg Ancnt Shard, 5 Rustshard, 3 Union Ore, 6 Carbalite Ore
Ancient S Guards : 3 Thn Ancnt Shard, 5 Rustshard, 3 Union Ore, 9 Dragonite Ore
Ancient S Leggings : 3 Lng Ancnt Shard, 5 Rustshard, 6 Carbalite Ore, 9 Dragonite Ore
Ingot S Helm : 2 Union Ore, 3 Gracium, 2 Bathycite Ore, 5 Carbalite Ore
Ingot S Mail : 3 Union Ore, 2 Firecell Stone, 2 Bathycite Ore, 5 Carbalite Ore
Ingot S Vambraces : 2 Union Ore, 3 Gracium, 2 Bathycite Ore, 2 Lava Chunk
Ingot S Coil : 2 Union Ore, 2 Firecell Stone, 5 Carbalite Ore, 2 Lava Chunk
Ingot S Greaves : 3 Union Ore, 3 Gracium, 1 Bathycite Ore, 5 Carbalite Ore
Ingot S Cap : 2 Union Ore, 3 Gracium, 2 Bathycite Ore, 5 Carbalite Ore
Ingot S Vest : 3 Union Ore, 2 Firecell Stone, 2 Bathycite Ore, 5 Carbalite Ore
Ingot S Guards : 2 Union Ore, 3 Gracium, 2 Bathycite Ore, 2 Lava Chunk
Ingot S Coat : 2 Union Ore, 2 Firecell Stone, 5 Carbalite Ore, 2 Lava Chunk
Ingot S Leggings : 3 Union Ore, 3 Gracium, 1 Bathycite Ore, 5 Carbalite Ore
Nargacuga S Helm : 5 BlackNargaPelt+, 5 Narga TailSpike, 1 Wyvern Stone, 6 Aoashira Pelt+
Nargacuga S Mail : 4 Narga Scale+, 5 Nargacuga Fang+, 1 Narga Brain Stm, 6 King Scarab
Nargacuga S Vambraces : 3 Nargacuga Wing+, 5 Narga Scale+, 5 Narga TailSpike, 5 Zuwaroposu Hide+
Nargacuga S Faulds : 5 BlackNargaPelt+, 1 Nargacuga Tail, 3 Nargacuga Wing+, 4 Aoashira Carapace
Nargacuga S Greaves : 5 Nargacuga Fang+, 5 Narga Scale+, 2 Narga Marrow, 3 Rare Scarab
Nargacuga S Cap : 5 BlackNargaPelt+, 5 Narga TailSpike, 1 Wyvern Stone, 6 Aoashira Pelt+
Nargacuga S Vest : 4 Narga Scale+, 5 Nargacuga Fang+, 1 Narga Brain Stm, 6 King Scarab
Nargacuga S Guards : 3 Nargacuga Wing+, 5 Narga Scale+, 5 Narga TailSpike, 5 Zuwaroposu Hide+
